name,size,mounting_type,sensing_distance,output_type,operation_mode,connection_method,material_housing,io_link_baud_rate,overall_length,thread_length,degree_of_protection
E2E-X40MB1TL30 2M,M30,Non-flush,40 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MB1TL30-M1,M30,Non-flush,40 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),80 mm,50 mm,IP67/IP69K
E2E-X40MB1TL30-M1TJ 0.3M,M30,Non-flush,40 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MB1TL30-R 2M,M30,Non-flush,40 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MB2L30 2M,M30,Non-flush,40 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MB2L30-M1,M30,Non-flush,40 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,80 mm,50 mm,IP67/IP69K
E2E-X40MB3DL30-M1,M30,Non-flush,40 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),80 mm,50 mm,IP67/IP69K
E2E-X40MD1L30 2M,M30,Non-flush,40 mm,2-wire,NO,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30 5M,M30,Non-flush,40 mm,2-wire,NO,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30-M1TGJ 0.3M,M30,Non-flush,40 mm,2-wire,NO,M12 pigtail Smartclick connector,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30-M1TGJ-T 0.3M,M30,Non-flush,40 mm,2-wire,NO,M12 pigtail Smartclick connector,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30-R 2M,M30,Non-flush,40 mm,2-wire,NO,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30-R 5M,M30,Non-flush,40 mm,2-wire,NO,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30-T 2M,M30,Non-flush,40 mm,2-wire,NO,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30-T 5M,M30,Non-flush,40 mm,2-wire,NO,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30-TR 2M,M30,Non-flush,40 mm,2-wire,NO,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD1L30-TR 5M,M30,Non-flush,40 mm,2-wire,NO,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30 2M,M30,Non-flush,40 mm,2-wire,NC,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30 5M,M30,Non-flush,40 mm,2-wire,NC,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30-M1TGJ 0.3M,M30,Non-flush,40 mm,2-wire,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30-M1TGJ-T 0.3M,M30,Non-flush,40 mm,2-wire,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30-R 2M,M30,Non-flush,40 mm,2-wire,NC,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
E2E-X40MD2L30-R 5M,M30,Non-flush,40 mm,2-wire,NC,Cable,"Brass, nickel plated",,82.3 mm,50 mm,IP67/IP67G/IP69K
