name,size,mounting_type,sensing_distance,output_type,operation_mode,connection_method,material_housing,io_link_baud_rate,overall_length,thread_length,degree_of_protection
E2E-X6MB1TL8-M5,M8,Non-flush,6 mm,"IO-Link, PNP",NO,Connector M8 - 3 pin,Stainless steel,COM3 (230.4 kbps),49 mm,30 mm,IP67/IP69K
E2E-X6MB28 2M,M8,Non-flush,6 mm,PNP,NC,Cable,Stainless steel,Not Applicable,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MB28-M1,M8,Non-flush,6 mm,PNP,NC,Connector M12,Stainless steel,Not Applicable,43 mm,20 mm,IP67/IP69K
E2E-X6MB28-M5,M8,Non-flush,6 mm,PNP,NC,Connector M8 - 3 pin,Stainless steel,Not Applicable,39 mm,20 mm,IP67/IP69K
E2E-X6MB2L8 2M,M8,Non-flush,6 mm,PNP,NC,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X6MB2L8-M1,M8,Non-flush,6 mm,PNP,NC,Connector M12,Stainless steel,Not Applicable,53 mm,30 mm,IP67/IP69K
E2E-X6MB2L8-M5,M8,Non-flush,6 mm,PNP,NC,Connector M8 - 3 pin,Stainless steel,Not Applicable,49 mm,30 mm,IP67/IP69K
E2E-X6MC18-M1,M8,Non-flush,6 mm,NPN,NO,Connector M12,High-grade stainless steel,Not Applicable,43 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18 2M,M8,Non-flush,6 mm,2-wire,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18 5M,M8,Non-flush,6 mm,2-wire,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18-M1TGJ 0.3M,M8,Non-flush,6 mm,2-wire,NO,M12 pigtail Smartclick connector,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18-M1TGJ-T 0.3M,M8,Non-flush,6 mm,2-wire,NO,M12 pigtail Smartclick connector,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18-R 2M,M8,Non-flush,6 mm,2-wire,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18-R 5M,M8,Non-flush,6 mm,2-wire,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18-T 2M,M8,Non-flush,6 mm,2-wire,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18-T 5M,M8,Non-flush,6 mm,2-wire,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18-TR 2M,M8,Non-flush,6 mm,2-wire,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD18-TR 5M,M8,Non-flush,6 mm,2-wire,NO,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28 2M,M8,Non-flush,6 mm,2-wire,NC,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28 5M,M8,Non-flush,6 mm,2-wire,NC,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28-M1TGJ 0.3M,M8,Non-flush,6 mm,2-wire,NC,M12 pigtail Smartclick connector,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28-M1TGJ-T 0.3M,M8,Non-flush,6 mm,2-wire,NC,M12 pigtail Smartclick connector,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28-R 2M,M8,Non-flush,6 mm,2-wire,NC,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28-R 5M,M8,Non-flush,6 mm,2-wire,NC,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28-T 2M,M8,Non-flush,6 mm,2-wire,NC,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28-T 5M,M8,Non-flush,6 mm,2-wire,NC,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28-TR 2M,M8,Non-flush,6 mm,2-wire,NC,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X6MD28-TR 5M,M8,Non-flush,6 mm,2-wire,NC,Cable,Stainless steel,,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X7D112 2M,M12,Quasi-flush,7 mm,2-wire,NO,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112 5M,M12,Quasi-flush,7 mm,2-wire,NO,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112-M1TGJ 0.3M,M12,Quasi-flush,7 mm,2-wire,NO,M12 pigtail Smartclick connector,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112-M1TGJ-T 0.3M,M12,Quasi-flush,7 mm,2-wire,NO,M12 pigtail Smartclick connector,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112-R 2M,M12,Quasi-flush,7 mm,2-wire,NO,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112-R 5M,M12,Quasi-flush,7 mm,2-wire,NO,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112-T 2M,M12,Quasi-flush,7 mm,2-wire,NO,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112-T 5M,M12,Quasi-flush,7 mm,2-wire,NO,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112-TR 2M,M12,Quasi-flush,7 mm,2-wire,NO,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D112-TR 5M,M12,Quasi-flush,7 mm,2-wire,NO,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212 2M,M12,Quasi-flush,7 mm,2-wire,NC,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212 5M,M12,Quasi-flush,7 mm,2-wire,NC,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212-M1TGJ 0.3M,M12,Quasi-flush,7 mm,2-wire,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212-M1TGJ-T 0.3M,M12,Quasi-flush,7 mm,2-wire,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212-R 2M,M12,Quasi-flush,7 mm,2-wire,NC,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212-R 5M,M12,Quasi-flush,7 mm,2-wire,NC,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212-T 2M,M12,Quasi-flush,7 mm,2-wire,NC,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212-T 5M,M12,Quasi-flush,7 mm,2-wire,NC,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212-TR 2M,M12,Quasi-flush,7 mm,2-wire,NC,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X7D212-TR 5M,M12,Quasi-flush,7 mm,2-wire,NC,Cable,"Brass, nickel plated",,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X8B1T18 10M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B1T18 2M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B1T18 5M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B1T18-M1,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),53 mm,34 mm,IP67/IP69K
E2E-X8B1T18-M1TJ 0.3M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B1T18-R 2M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B1TL18 10M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8B1TL18 2M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8B1TL18 5M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8B1TL18-M1,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),75 mm,60 mm,IP67/IP69K
E2E-X8B1TL18-M1TJ 0.3M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8B218 2M,M18,Quasi-flush,8 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B218 5M,M18,Quasi-flush,8 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B218-M1,M18,Quasi-flush,8 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,34 mm,IP67/IP69K
E2E-X8B2L18 2M,M18,Quasi-flush,8 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8B2L18 5M,M18,Quasi-flush,8 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8B2L18-M1,M18,Quasi-flush,8 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,75 mm,60 mm,IP67/IP69K
E2E-X8B3D18 2M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B3D18 5M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B3D18-M1,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),53 mm,34 mm,IP67/IP69K
E2E-X8B3D18-M1TJ 0.3M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO + NC,M12 pigtail Smartclick connector,"Brass, nickel plated",COM2 (38.4 kbps),55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8B3DL18 2M,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8B3DL18-M1,M18,Quasi-flush,8 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),75 mm,60 mm,IP67/IP69K
E2E-X8C118 10M,M18,Quasi-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8C118 2M,M18,Quasi-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8C118 5M,M18,Quasi-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8C118-M1,M18,Quasi-flush,8 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,34 mm,IP67/IP69K
E2E-X8C1L18 2M,M18,Quasi-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8C1L18 5M,M18,Quasi-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8C1L18-M1,M18,Quasi-flush,8 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,75 mm,60 mm,IP67/IP69K
E2E-X8C218 2M,M18,Quasi-flush,8 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8C218 5M,M18,Quasi-flush,8 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8C218-M1,M18,Quasi-flush,8 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,34 mm,IP67/IP69K
E2E-X8C2L18 2M,M18,Quasi-flush,8 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8C2L18 5M,M18,Quasi-flush,8 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8C2L18-M1,M18,Quasi-flush,8 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,75 mm,60 mm,IP67/IP69K
E2E-X8C318 2M,M18,Quasi-flush,8 mm,NPN,NO + NC,Cable,"Brass, nickel plated",Not Applicable,55.3 mm,34 mm,IP67/IP67G/IP69K
E2E-X8C318-M1,M18,Quasi-flush,8 mm,NPN,NO + NC,Connector M12,"Brass, nickel plated",Not Applicable,53 mm,34 mm,IP67/IP69K
E2E-X8C3L18 2M,M18,Quasi-flush,8 mm,NPN,NO + NC,Cable,"Brass, nickel plated",Not Applicable,77.3 mm,60 mm,IP67/IP67G/IP69K
E2E-X8C3L18-M1,M18,Quasi-flush,8 mm,NPN,NO + NC,Connector M12,"Brass, nickel plated",Not Applicable,75 mm,60 mm,IP67/IP69K
E2E-X8MB1T12 10M,M12,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB1T12 2M,M12,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB1T12 5M,M12,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB1T12-M1,M12,Non-flush,8 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),48 mm,26 mm,IP67/IP69K
E2E-X8MB1T12-M1TJ 0.3M,M12,Non-flush,8 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB1T12-R 2M,M12,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB1T8 2M,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X8MB1T8 5M,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X8MB1T8-M1,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Connector M12,Stainless steel,COM3 (230.4 kbps),43 mm,20 mm,IP67/IP69K
E2E-X8MB1T8-M1TJ 0.3M,M8,Non-flush,8 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X8MB1T8-M3,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Connector M8 - 4 pin,Stainless steel,COM3 (230.4 kbps),39 mm,20 mm,IP67/IP69K
E2E-X8MB1T8-M5,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Connector M8 - 3 pin,Stainless steel,COM3 (230.4 kbps),39 mm,20 mm,IP67/IP69K
E2E-X8MB1T8-R 2M,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X8MB1TL12 2M,M12,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MB1TL12 5M,M12,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MB1TL12-M1,M12,Non-flush,8 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),70 mm,48 mm,IP67/IP69K
E2E-X8MB1TL12-M1TJ 0.3M,M12,Non-flush,8 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MB1TL8 2M,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Cable,Stainless steel,COM3 (230.4 kbps),47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X8MB1TL8-M1,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Connector M12,Stainless steel,COM3 (230.4 kbps),53 mm,30 mm,IP67/IP69K
E2E-X8MB1TL8-M1TJ 0.3M,M8,Non-flush,8 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,Stainless steel,COM3 (230.4 kbps),47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X8MB1TL8-M3,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Connector M8 - 4 pin,Stainless steel,COM3 (230.4 kbps),49 mm,30 mm,IP67/IP69K
E2E-X8MB1TL8-M5,M8,Non-flush,8 mm,"IO-Link, PNP",NO,Connector M8 - 3 pin,Stainless steel,COM3 (230.4 kbps),49 mm,30 mm,IP67/IP69K
E2E-X8MB212 2M,M12,Non-flush,8 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB212 5M,M12,Non-flush,8 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB212-M1,M12,Non-flush,8 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,26 mm,IP67/IP69K
E2E-X8MB28 2M,M8,Non-flush,8 mm,PNP,NC,Cable,Stainless steel,Not Applicable,37.8 mm,20 mm,IP67/IP67G/IP69K
E2E-X8MB28-M1,M8,Non-flush,8 mm,PNP,NC,Connector M12,Stainless steel,Not Applicable,43 mm,20 mm,IP67/IP69K
E2E-X8MB28-M5,M8,Non-flush,8 mm,PNP,NC,Connector M8 - 3 pin,Stainless steel,Not Applicable,39 mm,20 mm,IP67/IP69K
E2E-X8MB2L12 2M,M12,Non-flush,8 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MB2L12 5M,M12,Non-flush,8 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MB2L12-M1,M12,Non-flush,8 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,48 mm,IP67/IP69K
E2E-X8MB2L8 2M,M8,Non-flush,8 mm,PNP,NC,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X8MB2L8-M1,M8,Non-flush,8 mm,PNP,NC,Connector M12,Stainless steel,Not Applicable,53 mm,30 mm,IP67/IP69K
E2E-X8MB2L8-M5,M8,Non-flush,8 mm,PNP,NC,Connector M8 - 3 pin,Stainless steel,Not Applicable,49 mm,30 mm,IP67/IP69K
E2E-X8MB3D12 2M,M12,Non-flush,8 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB3D12 5M,M12,Non-flush,8 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MB3D12-M1,M12,Non-flush,8 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),48 mm,26 mm,IP67/IP69K
E2E-X8MB3DL12 2M,M12,Non-flush,8 mm,"IO-Link, PNP",NO + NC,Cable,"Brass, nickel plated",COM2 (38.4 kbps),69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MB3DL12-M1,M12,Non-flush,8 mm,"IO-Link, PNP",NO + NC,Connector M12,"Brass, nickel plated",COM2 (38.4 kbps),70 mm,48 mm,IP67/IP69K
E2E-X8MC112 2M,M12,Non-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MC112 5M,M12,Non-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MC112-M1,M12,Non-flush,8 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,26 mm,IP67/IP69K
E2E-X8MC1L12 2M,M12,Non-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MC1L12 5M,M12,Non-flush,8 mm,NPN,NO,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MC1L12-M1,M12,Non-flush,8 mm,NPN,NO,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,48 mm,IP67/IP69K
E2E-X8MC1L8 2M,M8,Non-flush,8 mm,NPN,NO,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X8MC1L8-M1,M8,Non-flush,8 mm,NPN,NO,Connector M12,High-grade stainless steel,Not Applicable,53 mm,30 mm,IP67/IP69K
E2E-X8MC212 2M,M12,Non-flush,8 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MC212 5M,M12,Non-flush,8 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MC212-M1,M12,Non-flush,8 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,26 mm,IP67/IP69K
E2E-X8MC2L12 2M,M12,Non-flush,8 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MC2L12 5M,M12,Non-flush,8 mm,NPN,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MC2L12-M1,M12,Non-flush,8 mm,NPN,NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,48 mm,IP67/IP69K
E2E-X8MC2L8 2M,M8,Non-flush,8 mm,NPN,NC,Cable,Stainless steel,Not Applicable,47.8 mm,30 mm,IP67/IP67G/IP69K
E2E-X8MC2L8-M1,M8,Non-flush,8 mm,NPN,NC,Connector M12,High-grade stainless steel,Not Applicable,53 mm,30 mm,IP67/IP69K
E2E-X8MC312 2M,M12,Non-flush,8 mm,NPN,NO + NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,26 mm,IP67/IP67G/IP69K
E2E-X8MC312-M1,M12,Non-flush,8 mm,NPN,NO + NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,26 mm,IP67/IP69K
E2E-X8MC3L12 2M,M12,Non-flush,8 mm,NPN,NO + NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,48 mm,IP67/IP67G/IP69K
E2E-X8MC3L12-M1,M12,Non-flush,8 mm,NPN,NO + NC,Connector M12,"Brass, nickel plated",Not Applicable,70 mm,48 mm,IP67/IP69K
E2E-X9B1T12 2M,M12,Quasi-flush,9 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X9B1T12 5M,M12,Quasi-flush,9 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X9B1T12-M1,M12,Quasi-flush,9 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),48 mm,28 mm,IP67/IP69K
E2E-X9B1T12-M1TJ 0.3M,M12,Quasi-flush,9 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X9B1T12-R 2M,M12,Quasi-flush,9 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X9B1TL12 2M,M12,Quasi-flush,9 mm,"IO-Link, PNP",NO,Cable,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,54 mm,IP67/IP67G/IP69K
E2E-X9B1TL12-M1,M12,Quasi-flush,9 mm,"IO-Link, PNP",NO,Connector M12,"Brass, nickel plated",COM3 (230.4 kbps),70 mm,54 mm,IP67/IP69K
E2E-X9B1TL12-M1TJ 0.3M,M12,Quasi-flush,9 mm,"IO-Link, PNP",NO,M12 pigtail Smartclick connector,"Brass, nickel plated",COM3 (230.4 kbps),69.1 mm,54 mm,IP67/IP67G/IP69K
E2E-X9B212 2M,M12,Quasi-flush,9 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X9B212-M1,M12,Quasi-flush,9 mm,PNP,NC,Connector M12,"Brass, nickel plated",Not Applicable,48 mm,28 mm,IP67/IP69K
E2E-X9B212-M1TJ 0.3M,M12,Quasi-flush,9 mm,PNP,NC,M12 pigtail Smartclick connector,"Brass, nickel plated",Not Applicable,47.1 mm,28 mm,IP67/IP67G/IP69K
E2E-X9B2L12 2M,M12,Quasi-flush,9 mm,PNP,NC,Cable,"Brass, nickel plated",Not Applicable,69.1 mm,54 mm,IP67/IP67G/IP69K
